osm_type,osm_id,name,lat,lon,address,city,website,review
way,701645306,Airport Golf,46.9717891,-122.9145832,,,,
way,23143257,Allenmore Golf Course,47.2391295,-122.4726754,,,,
relation,5959483,Alta Lake Golf Resort,48.0377046,-119.9342118,,,,
way,51242040,American Lake Veterans Golf Course,47.1409821,-122.5750919,9600 Veterans Drive Southwest Lakewood WA 98493,Lakewood,https://www.veterangolf.org/,
relation,10698529,Apple Tree Golf Course & Resort,46.5631469,-120.6339872,,,,
way,831297181,Auburn Golf Course,47.3353267,-122.2070318,,,,
way,54454429,Avalon Golf Links,48.535095,-122.3298718,19345 Kelleher Road Burlington WA 98233,Burlington,https://www.avalonlinks.com/,
relation,13480975,Bald Eagle Golf Club,48.9969199,-123.0780494,1350 Pelican Place Point Roberts WA 98281,Point Roberts,https://baldeaglepointroberts.com,
way,54454203,Battle Creek Golf Course,48.0536785,-122.232997,,,http://www.battlecreeklinks.com/,
way,80401048,Beacon Rock Golf Course,45.6385053,-121.9875232,,,,
relation,18145629,Bear Creek Country Club,47.7266858,-122.0631396,13737 202nd Avenue N.E. Woodinville WA 98077,Woodinville,https://www.bearcreekcc.com/,
way,427618506,Bear Creek Golf Course,48.457864,-120.13118,,,,
way,1284936152,Bear Mountain Golf Course,47.8346813,-120.12695,,,,
way,111599950,Bellingham Country Club,48.7790509,-122.4927256,,,,
relation,8596149,Belmor Park Golf & Country Club,47.3092649,-122.3045362,,,,
way,242622942,Big Bend Golf & Country Club,47.7664622,-118.7165854,,,,
way,547700151,Birch Bay Village Golf Course,48.9397165,-122.7823717,,,,
relation,18972455,Black Mountain Ranch Golf Course,48.911965,-122.1305089,,,,
way,264533604,Black Rock Creek Golf Course,46.2983893,-119.9521155,,,,
relation,7202034,Brae Burn Golf Course,47.6330559,-122.0976044,,,,
way,159936730,Broadmoor Golf Course,47.6355303,-122.2896827,,,,
way,1437040525,Buckskin Golf Club,46.2968973,-119.3101803,,,,
way,679962739,Camaloch Golf Course,48.2213554,-122.4715542,,,,
relation,19187961,Camas Meadows,45.6306099,-122.4525365,,,,
way,150421359,Camas Meadows Golf Club,45.6238843,-122.4415942,,,,
relation,19187969,Canyon Lakes Golf Course,46.1764704,-119.17035,,,https://canyonlakesgolfcourse.com/,
relation,3092204,Capital City Golf Club,46.9924621,-122.8157029,5225 Yelm Highway Southeast Lacey WA 98513,Lacey,https://golfcapitolcity.com/,
way,54622657,Cedar Crest Golf Course,48.0679483,-122.1364836,,,https://www.cedarcrestgc.com/,
way,26787026,Chambers Bay Golf Course,47.2065845,-122.5753553,6320 Grandview Drive West University Place WA 98467,University Place,https://chambersbaygolf.com/,
